City,Days Overdue Breakdown,Loan Term in Years,Origination Date,Segment,State,Amount,Amount Due,Avg. Interest Rate,Calc for Metrics Parameter,Days Overdue,Loan Term in Months,No. of Loans,Risk Rate
Warren,76-90,11-20 Years,2021-12-25,Commercial,Michigan,3000.0,3180.0,6,"3,000",81,216,1,2
Huntington,46-60,11-20 Years,2022-04-23,Home Mortgage,West Virginia,500.0,519.0,4,500,50,180,1,1
Austin,46-60,11-20 Years,2020-08-21,Home Mortgage,Texas,1000.0,1049.0,5,"1,000",52,228,1,1
Sacramento,61-75,1-10 Years,2021-02-25,Small Business,California,500.0,517.0,3,500,69,60,1,3
Houston,46-60,1-10 Years,2020-10-21,Small Business,Texas,2000.0,2130.0,6,"2,000",60,72,1,2
Indianapolis,76-90,1-10 Years,2020-09-22,Small Business,Indiana,8000.0,8386.0,5,"8,000",78,60,1,3
Albany,0-15,21-30 Years,2022-07-04,Home Mortgage,New York,1000.0,1058.0,6,"1,000",15,324,1,1
Hollywood,76-90,11-20 Years,2021-04-05,Home Mortgage,Florida,500.0,523.0,5,500,78,192,1,1
Palm Bay,76-90,21-30 Years,2019-11-29,Home Mortgage,Florida,1000.0,1044.0,4,"1,000",79,276,1,4
Denver,61-75,11-20 Years,2022-02-03,Home Mortgage,Colorado,500.0,528.0,6,500,69,216,1,2
Fort Wayne,61-75,11-20 Years,2020-04-09,Small Business,Indiana,1000.0,1033.0,3,"1,000",71,180,1,2
Pittsburgh,76-90,21-30 Years,2022-04-08,Commercial,Pennsylvania,23000.0,24449.0,6,"23,000",77,348,1,4
Bronx,0-15,21-30 Years,2022-05-04,Commercial,New York,3000.0,3124.0,4,"3,000",2,348,1,3
New York City,46-60,21-30 Years,2021-06-21,Commercial,New York,500.0,528.0,6,500,53,300,1,1
Waterbury,61-75,21-30 Years,2021-09-07,Commercial,Connecticut,500.0,527.0,5,500,68,312,1,2
Baton Rouge,76-90,1-10 Years,2021-04-03,Home Office,Louisiana,3000.0,3251.0,8,"3,000",88,36,1,2
Toledo,76-90,21-30 Years,2022-03-01,Commercial,Ohio,500.0,522.0,4,500,88,336,1,2
Pittsburgh,31-45,11-20 Years,2020-12-03,Commercial,Pennsylvania,500.0,534.0,7,500,40,240,1,2
Richmond,61-75,21-30 Years,2020-12-14,Commercial,Virginia,500.0,524.0,5,500,62,276,1,1
Huntsville,31-45,21-30 Years,2020-11-09,Home Mortgage,Alabama,2000.0,2072.0,4,"2,000",34,252,1,3
Wilmington,16-30,21-30 Years,2021-04-22,Home Mortgage,Delaware,500.0,522.0,4,500,27,288,1,4
Pueblo,90+,1-10 Years,2020-08-07,Home Office,Colorado,19000.0,20488.0,8,"19,000",95,12,1,4
Tyler,90+,1-10 Years,2019-09-22,Small Business,Texas,1000.0,1063.0,6,"1,000",92,120,1,4
Saint Louis,76-90,1-10 Years,2022-03-14,Small Business,Missouri,5000.0,5143.0,3,"5,000",90,120,1,4
New York City,46-60,1-10 Years,2022-01-09,Small Business,New York,3000.0,3093.0,3,"3,000",52,108,1,3
Mountain View,46-60,11-20 Years,2021-03-04,Small Business,California,1000.0,1051.0,5,"1,000",52,180,1,1
Pittsburgh,90+,21-30 Years,2020-09-30,Commercial,Pennsylvania,1000.0,1061.0,6,"1,000",92,264,1,3
Baton Rouge,76-90,11-20 Years,2022-02-09,Commercial,Louisiana,500.0,534.0,7,500,90,216,1,2
Young America,61-75,21-30 Years,2020-09-13,Commercial,Minnesota,1000.0,1052.0,5,"1,000",67,300,1,2
Manassas,31-45,11-20 Years,2022-04-10,Commercial,Virginia,500.0,528.0,6,500,41,228,1,4
Palm Bay,76-90,11-20 Years,2022-07-14,Commercial,Florida,1000.0,1056.0,6,"1,000",78,240,1,1
Saint Augustine,31-45,11-20 Years,2019-07-05,Home Mortgage,Florida,500.0,521.0,4,500,33,204,1,3
